regio2,totalRent,balcony,livingSpace,noRooms
Köln,786.6,1,67.0,3.0
Stuttgart,1200.0,0,55.0,2.0
Stuttgart,1650.0,0,59.2,3.0
Köln,665.0,0,35.0,1.0
Köln,520.0,1,46.0,2.0
Köln,1269.0,1,85.0,3.0
Stuttgart,1479.0,1,52.0,2.0
Köln,1080.0,0,82.0,4.0
Köln,770.0,0,48.0,1.0
Stuttgart,1640.0,1,90.0,2.0
Köln,1138.0,1,80.0,3.0
Köln,1880.0,1,122.0,5.0
Köln,2340.0,1,100.0,3.0
Köln,590.0,0,36.0,1.5
Stuttgart,1590.0,0,113.0,2.5
Köln,1510.0,1,140.0,5.0
Köln,990.0,1,121.0,3.0
Köln,3700.0,1,255.0,6.0
Köln,1450.0,1,98.0,3.0
Köln,795.0,0,63.5,2.0
Stuttgart,1250.0,1,75.0,3.0
Köln,1790.0,1,120.0,2.0
Stuttgart,850.0,0,50.0,2.0
Köln,1060.0,1,100.0,2.0
Stuttgart,1630.0,1,104.0,4.0
Köln,1453.0,1,71.0,2.0
Köln,799.0,0,30.0,1.0
Stuttgart,1300.0,1,70.0,2.5
Köln,730.0,0,35.2,1.0
Stuttgart,690.0,1,55.0,2.0
Stuttgart,2200.0,1,112.0,3.5
Stuttgart,370.0,0,20.0,1.0
Köln,825.0,1,60.49,2.0
Stuttgart,780.0,1,57.0,2.0
Köln,740.0,1,42.0,1.0
Köln,1430.0,1,77.0,2.0
Köln,1720.0,1,90.41,3.0
Köln,1080.0,1,72.0,2.0
Stuttgart,1180.0,1,65.0,2.5
Stuttgart,1030.0,1,83.0,3.0
Stuttgart,1660.0,0,89.68,4.0
Köln,815.7,1,55.0,2.0
Köln,1550.0,1,100.0,2.5
Stuttgart,3190.0,1,230.0,7.0
Köln,860.0,0,57.0,2.0
Köln,1001.13,1,84.54,3.0
Köln,772.0,1,51.0,2.0
Stuttgart,930.0,1,18.0,1.0
Köln,970.0,1,90.75,3.5
Köln,820.0,0,71.0,3.0
Köln,494.8,0,43.1,2.0
Stuttgart,1130.0,0,54.0,2.0
Köln,1371.37,0,74.59,2.0
Köln,2650.0,1,133.0,4.0
Stuttgart,890.0,1,26.0,1.0
Stuttgart,2145.0,1,115.0,4.0
Köln,937.0,1,62.82,2.0
Köln,1690.0,0,80.0,3.0
Köln,1340.0,0,100.0,3.0
Köln,1495.0,1,90.0,2.5
Köln,1080.0,1,56.0,2.0
Köln,1460.0,1,100.0,3.0
Köln,2050.0,1,90.0,3.0
Stuttgart,870.0,1,58.0,2.0
Köln,1990.0,1,71.0,3.0
Stuttgart,2500.0,1,83.0,3.0
Stuttgart,2588.0,1,140.0,3.5
Stuttgart,2017.0,0,98.0,3.0
Köln,914.0,1,68.68,2.0
Köln,1040.0,1,86.0,3.0
Köln,760.0,1,48.0,2.0
Stuttgart,1840.0,1,129.0,2.0
Köln,1300.0,1,110.0,3.0
Stuttgart,1450.0,0,75.0,3.0
Köln,1710.0,1,110.0,3.0
Stuttgart,1550.0,0,42.0,1.5
Stuttgart,1350.0,1,60.0,2.0
Stuttgart,940.0,1,53.0,2.0
Stuttgart,2200.0,0,87.0,3.0
Köln,1600.0,1,80.0,2.0
Köln,2298.0,1,135.0,3.5
Köln,1550.0,1,91.0,3.0
Stuttgart,1120.0,1,54.0,2.5
Stuttgart,1580.0,1,93.0,3.0
Köln,790.5,1,52.0,2.0
Köln,959.0,1,68.0,2.0
Köln,2190.0,0,70.0,3.0
Köln,1340.0,1,80.0,2.0
Köln,800.0,1,51.0,2.0
Stuttgart,1286.13,1,34.1,1.0
Köln,550.0,1,22.0,1.0
Köln,503.0,0,23.0,1.0
Stuttgart,1105.0,1,92.0,4.0
Köln,1185.0,0,30.0,1.0
Stuttgart,760.0,0,33.0,1.5
Stuttgart,2100.0,1,114.0,2.0
Köln,1405.0,1,94.0,4.0
Köln,980.0,0,50.0,1.0
Köln,620.5,1,40.0,2.0
Stuttgart,1340.0,0,76.1,3.0
Stuttgart,595.0,0,15.0,1.0
Stuttgart,600.0,0,25.0,1.0
Köln,690.0,0,30.0,1.0
Köln,1241.0,1,86.5,3.0
Köln,1300.0,1,105.0,4.0
Stuttgart,830.0,0,27.0,1.0
Stuttgart,650.0,0,28.0,1.0
Köln,729.0,0,47.0,2.0
Stuttgart,960.0,0,21.0,1.0
Köln,850.0,0,26.0,1.0
Köln,1440.0,1,78.0,2.0
Köln,682.22,0,29.29,1.0
Köln,1029.0,1,92.0,4.0
Köln,1607.0,0,105.24,4.0
Stuttgart,2259.0,1,103.0,4.0
Köln,2915.0,0,100.0,3.0
Köln,1990.0,1,85.0,2.0
Köln,850.0,1,72.0,2.0
Köln,1890.0,0,102.0,4.0
Stuttgart,1832.0,1,70.59,2.0
Stuttgart,1800.0,1,105.0,4.5
Stuttgart,1320.0,1,53.0,2.0
Köln,1107.0,1,85.0,3.5
Köln,1975.0,1,133.12,5.0
Köln,880.0,1,67.0,2.0
Köln,1290.0,1,45.0,1.0
Stuttgart,2060.0,1,124.0,3.5
Stuttgart,1832.0,1,70.59,2.0
Köln,1245.0,1,105.38,4.0
Köln,490.0,0,41.0,3.0
Köln,594.0,0,59.0,2.0
Köln,1617.9,0,116.81,5.0
Köln,995.0,0,68.0,2.0
Köln,965.0,1,54.6,2.0
Köln,964.0,1,74.0,2.0
Stuttgart,1550.0,1,98.0,3.5
Stuttgart,1620.0,1,105.0,4.0
Stuttgart,710.0,0,29.0,1.0
Köln,910.0,1,77.1,3.0
Stuttgart,1700.0,0,68.0,2.5
Stuttgart,1850.0,1,89.0,3.0
Köln,995.0,1,66.0,2.0
Stuttgart,1450.0,0,42.0,1.5
Stuttgart,1500.0,1,90.94,3.0
Stuttgart,2600.0,1,136.9,5.0
Stuttgart,1592.0,1,88.11,4.0
Köln,1020.0,0,78.0,3.0
Köln,1615.0,1,60.0,2.0
Stuttgart,1293.99,1,77.0,3.0
Köln,1200.0,1,63.0,3.0
Köln,1780.0,1,85.0,3.0
Stuttgart,1270.0,1,85.0,2.0
Stuttgart,1545.0,0,75.0,3.0
Stuttgart,2200.0,0,87.0,3.0
Stuttgart,1990.0,1,100.0,4.0
Stuttgart,1380.0,1,82.0,3.5
Stuttgart,2500.0,1,160.0,5.0
Köln,1990.0,1,110.0,3.0
Köln,860.0,1,48.0,1.5
Köln,2200.0,1,103.0,3.5
Stuttgart,1650.0,1,116.0,3.5
Köln,950.0,0,64.0,2.0
Köln,1330.0,1,100.0,3.0
Köln,788.0,1,40.61,2.0
Köln,2190.0,1,105.0,3.0
Stuttgart,1715.0,0,100.0,2.0
Stuttgart,2412.36,0,169.0,6.0
Köln,1150.0,0,71.0,2.0
Stuttgart,1770.0,1,109.0,3.5
Köln,1250.0,1,72.0,3.0
Stuttgart,650.0,0,10.0,1.0
Köln,630.0,1,35.0,1.0
Köln,1082.45,1,58.44,2.0
Köln,755.0,1,58.0,2.0
Köln,1343.5,1,65.0,2.0
Stuttgart,990.0,0,86.0,3.0
Stuttgart,2250.0,1,101.0,4.0
Köln,1010.0,1,50.0,2.5
Köln,1695.0,1,110.0,3.0
Köln,1325.0,1,86.0,3.0
Köln,971.5,1,73.0,3.0
Köln,740.0,0,17.0,1.0
Köln,950.0,1,40.0,1.0
Köln,1285.0,1,83.0,3.0
Köln,955.5,1,75.0,3.0
Köln,1390.0,1,59.0,1.0
Köln,1455.7,1,113.27,4.0
Köln,690.0,1,55.0,2.0
